iucn_sid,am_sid,sciname,cat_code,pop_trend,spatial_source,rgn_id,rgn_name,n_cells,presence,n_spp_rgn
155322,Fis-54508,Plectrogenium nanum,LC,unknown,am,39,Maldives,41,NA,5476
155323,Fis-60710,Plectranthias bauchotae,LC,unknown,am,39,Maldives,2,NA,5476
155328,Fis-114767,Paratriacanthodes herrei,LC,unknown,am,39,Maldives,38,NA,5476
155329,Fis-130876,Ophichthus altipennis,LC,unknown,am,39,Maldives,38,NA,5476
155330,Fis-25119,Pomadasys maculatus,LC,unknown,am,39,Maldives,38,NA,5476
158628,Fis-165214,Nectamia zebrinus,LC,unknown,am,39,Maldives,31,NA,5476
162500,SLB-96011,Sepiella inermis,DD,NA,am,39,Maldives,38,NA,5476
162504,W-Msc-181376,Sepia pharaonis,DD,NA,am,39,Maldives,38,NA,5476
162505,SLB-71265,Sepia latimanus,DD,NA,am,39,Maldives,38,NA,5476
162509,SLB-71311,Sepia trygonina,LC,unknown,am,39,Maldives,40,NA,5476
162556,W-Msc-220309,Sepia prashadi,LC,unknown,am,39,Maldives,38,NA,5476
162581,W-Msc-342124,Sepia confusa,DD,NA,am,39,Maldives,39,NA,5476
162587,W-Msc-141548,Spirula spirula,LC,unknown,am,39,Maldives,61,NA,5476
162630,W-Msc-342317,Euprymna morsei,DD,NA,am,39,Maldives,37,NA,5476
162638,W-Msc-342107,Sepia acuminata,DD,NA,am,39,Maldives,40,NA,5476
162662,SLB-71220,Sepia aculeata,DD,NA,am,39,Maldives,38,NA,5476
162667,SLB-71227,Sepia arabica,DD,NA,am,39,Maldives,10,NA,5476
162672,SLB-71357,Inioteuthis maculosa,LC,unknown,am,39,Maldives,40,NA,5476
162678,SLB-71300,Sepia sewelli,DD,NA,am,39,Maldives,18,NA,5476
162899,SLB-70958,Amphitretus pelagicus,LC,unknown,am,39,Maldives,80,NA,5476
162909,SLB-71435,Egea inermis,LC,unknown,am,39,Maldives,80,NA,5476
162910,SLB-71429,Chtenopteryx sicula,DD,NA,am,39,Maldives,337,NA,5476
162926,W-Msc-342313,Eucleoteuthis luminosa,LC,unknown,am,39,Maldives,50,NA,5476
162941,W-Msc-181386,Cranchia scabra,LC,unknown,am,39,Maldives,337,NA,5476
162948,SLB-71450,Liguriella podophthalma,DD,NA,am,39,Maldives,331,NA,5476
162961,W-Msc-196598,Joubiniteuthis portieri,LC,unknown,am,39,Maldives,217,NA,5476
162986,W-Msc-138849,Japetella diaphana,LC,unknown,am,39,Maldives,300,NA,5476
162988,W-Msc-141962,Vitreledonella richardi,LC,unknown,am,39,Maldives,45,NA,5476
163050,W-Msc-138747,Ancistrocheirus lesueuri,LC,unknown,am,39,Maldives,337,NA,5476
163067,W-Msc-342386,Sandalops melancholicus,DD,NA,am,39,Maldives,80,NA,5476
163071,W-Msc-220322,Ornithoteuthis volatilis,LC,unknown,am,39,Maldives,300,NA,5476
163080,W-Msc-138803,Argonauta argo,LC,unknown,am,39,Maldives,38,NA,5476
163152,W-Msc-342066,Sthenoteuthis oualaniensis,LC,unknown,am,39,Maldives,45,NA,5476
163163,W-Msc-181382,Ommastrephes bartramii,LC,unknown,am,39,Maldives,54,NA,5476
163207,SLB-70957,Haliphron atlanticus,LC,unknown,am,39,Maldives,337,NA,5476
163211,W-Msc-215276,Argonauta hians,LC,unknown,am,39,Maldives,49,NA,5476
163218,W-Msc-341818,Liocranchia reinhardti,LC,unknown,am,39,Maldives,337,NA,5476
163228,W-Msc-141680,Thysanoteuthis rhombus,LC,unknown,am,39,Maldives,127,NA,5476
163255,W-Msc-342303,Enoploteuthis reticulata,LC,unknown,am,39,Maldives,15,NA,5476
163256,SLB-71465,Discoteuthis discus,LC,unknown,am,39,Maldives,41,NA,5476
163267,W-Msc-140609,Taningia danae,LC,unknown,am,39,Maldives,336,NA,5476
163276,SLB-71462,Teuthowenia pellucida,LC,unknown,am,39,Maldives,19,NA,5476
163294,W-Msc-342337,Hyaloteuthis pelagica,LC,unknown,am,39,Maldives,59,NA,5476
163312,W-Msc-157017,Bolitaena pygmaea,LC,unknown,am,39,Maldives,52,NA,5476
163338,W-Msc-139422,Bathothauma lyromma,LC,unknown,am,39,Maldives,80,NA,5476
163347,W-Msc-181379,Octopoteuthis sicula,DD,NA,am,39,Maldives,337,NA,5476
163353,W-Msc-157031,Pyroteuthis margaritifera,LC,unknown,am,39,Maldives,337,NA,5476
163375,W-Msc-140649,Onychoteuthis banksii,DD,NA,am,39,Maldives,43,NA,5476
166077,Fis-26815,Eleotris fusca,LC,stable,am,39,Maldives,38,NA,5476
166189,Fis-29637,Anguilla marmorata,LC,unknown,am,39,Maldives,40,NA,5476
166216,Fis-29349,Coilia grayii,LC,unknown,am,39,Maldives,2,NA,5476
166442,Fis-23854,Tenualosa ilisha,LC,decreasing,am,39,Maldives,10,NA,5476
166446,Fis-23378,Arius arius,LC,unknown,am,39,Maldives,35,NA,5476
166470,Fis-165718,Liza tade,DD,NA,am,39,Maldives,38,NA,5476
166533,Fis-25344,Glossogobius giuris,LC,unknown,am,39,Maldives,38,NA,5476
166552,Fis-26830,Pisodonophis boro,LC,unknown,am,39,Maldives,38,NA,5476
166575,Fis-25132,Gazza minuta,LC,unknown,am,39,Maldives,38,NA,5476
166856,Fis-7579,Chelon macrolepis,LC,stable,am,39,Maldives,38,NA,5476
166879,Fis-144537,Gerres limbatus,LC,unknown,am,39,Maldives,38,NA,5476
166881,Fis-151217,Ambassis ambassis,LC,unknown,am,39,Maldives,38,NA,5476
166892,Fis-25129,Terapon jarbua,LC,unknown,am,39,Maldives,39,NA,5476
166894,Fis-8951,Anguilla bicolor,NT,unknown,am,39,Maldives,38,NA,5476
166897,Fis-30982,Gerres filamentosus,LC,unknown,am,39,Maldives,38,NA,5476
166900,Fis-26961,Hyporhamphus limbatus,LC,stable,am,39,Maldives,31,NA,5476
166919,Fis-25941,Gerres oyena,LC,unknown,am,39,Maldives,38,NA,5476
166990,Fis-25371,Boleophthalmus boddarti,LC,unknown,am,39,Maldives,38,NA,5476
167010,Fis-27587,Oxyurichthys tentacularis,DD,NA,am,39,Maldives,38,NA,5476
169587,Fis-30346,Nematalosa galatheae,LC,stable,am,39,Maldives,22,NA,5476
169632,Fis-159802,Plicofollis dussumieri,LC,stable,am,39,Maldives,32,NA,5476
170350,Fis-29358,Coryphaena equiselis,LC,stable,am,39,Maldives,337,NA,5476
172321,Fis-25324,Ambassis gymnocephalus,LC,unknown,am,39,Maldives,38,NA,5476
172393,Fis-31253,Ambassis interrupta,LC,unknown,am,39,Maldives,38,NA,5476
172404,Fis-22934,Pomadasys argenteus,LC,stable,am,39,Maldives,38,NA,5476
172415,Fis-33712,Ambassis dussumieri,LC,unknown,am,39,Maldives,38,NA,5476
172443,Fis-26425,Bathygobius fuscus,LC,stable,am,39,Maldives,38,NA,5476
172468,Fis-28211,Ichthyocampus carce,LC,unknown,am,39,Maldives,35,NA,5476
172469,Fis-26669,Hippichthys penicillus,LC,unknown,am,39,Maldives,38,NA,5476
172495,Fis-22896,Lutjanus johnii,LC,unknown,am,39,Maldives,38,NA,5476
172497,Fis-27428,Zenarchopterus dispar,LC,unknown,am,39,Maldives,38,NA,5476
176066,SLB-71422,Chiroteuthis veranyi,LC,unknown,am,39,Maldives,11,NA,5476
176079,W-Msc-341869,Stigmatoteuthis dofleini,LC,unknown,am,39,Maldives,43,NA,5476
176088,W-Msc-141097,Pterygioteuthis giardi,LC,unknown,am,39,Maldives,41,NA,5476
178912,Fis-27038,Helcogramma ellioti,LC,unknown,am,39,Maldives,38,NA,5476
178916,Fis-161808,Helcogramma alkamr,LC,unknown,am,39,Maldives,38,NA,5476
178932,Fis-114251,Enneapterygius tutuilae,LC,unknown,am,39,Maldives,38,NA,5476
178952,Fis-59703,Clinus woodi,LC,unknown,am,39,Maldives,2,NA,5476
178958,Fis-50590,Enneapterygius ventermaculus,LC,stable,am,39,Maldives,38,NA,5476
178973,Fis-161811,Helcogramma rharhabe,LC,stable,am,39,Maldives,38,NA,5476
178981,Fis-59870,Helcogramma obtusirostris,LC,unknown,am,39,Maldives,38,NA,5476
178992,Fis-29090,Norfolkia brachylepis,LC,stable,am,39,Maldives,38,NA,5476
179018,Fis-58543,Helcogramma maldivensis,DD,NA,am,39,Maldives,37,NA,5476
179020,Fis-59871,Helcogramma steinitzi,LC,stable,am,39,Maldives,36,NA,5476
179044,Fis-32870,Helcogramma fuscopinna,LC,unknown,am,39,Maldives,38,NA,5476
179045,Fis-50588,Enneapterygius pusillus,LC,stable,am,39,Maldives,38,NA,5476
179049,Fis-54044,Springeratus xanthosoma,LC,unknown,am,39,Maldives,38,NA,5476
179066,Fis-158534,Enneapterygius gruschkai,LC,unknown,am,39,Maldives,21,NA,5476
179080,Fis-50579,Enneapterygius clarkae,LC,unknown,am,39,Maldives,38,NA,5476
179085,Fis-121783,Enneapterygius philippinus,LC,unknown,am,39,Maldives,38,NA,5476
179102,Fis-50584,Enneapterygius elegans,LC,unknown,am,39,Maldives,38,NA,5476
179109,Fis-32866,Helcogramma chica,LC,unknown,am,39,Maldives,38,NA,5476
181547,Fis-58490,Microphis brachyurus,LC,unknown,am,39,Maldives,38,NA,5476
183155,Fis-23366,Anguilla mossambica,LC,unknown,am,39,Maldives,38,NA,5476
183158,Fis-26659,Kuhlia rupestris,LC,stable,am,39,Maldives,38,NA,5476
183159,Fis-4273,Aphanius dispar,LC,stable,am,39,Maldives,38,NA,5476
183274,Fis-58684,Tylosurus crocodilus,LC,unknown,am,39,Maldives,32,NA,5476
183776,Fis-23550,Hirundichthys rondeletii,LC,unknown,am,39,Maldives,337,NA,5476
183868,Fis-31244,Prognichthys sealei,LC,unknown,am,39,Maldives,337,NA,5476
184055,Fis-31614,Doryrhamphus excisus ssp. excisus,LC,unknown,am,39,Maldives,38,NA,5476
184056,Fis-54081,Sardinops sagax ssp. sagax,LC,unknown,am,39,Maldives,24,NA,5476
184812,W-Msc-215140,Telescopium telescopium,LC,unknown,am,39,Maldives,38,NA,5476
185933,Fis-167323,Zapogon evermanni,LC,unknown,am,39,Maldives,38,NA,5476
186088,Fis-27751,Oxyurichthys ophthalmonema,LC,unknown,am,39,Maldives,38,NA,5476
186089,Fis-27597,Stenogobius gymnopomus,LC,unknown,am,39,Maldives,7,NA,5476
187935,Fis-25342,Terapon theraps,LC,unknown,am,39,Maldives,38,NA,5476
188101,Fis-27612,Ophiocara porocephala,LC,stable,am,39,Maldives,38,NA,5476
189314,SLB-92983,Cerithium coralium,LC,unknown,am,39,Maldives,36,NA,5476
189818,Fis-48224,Lestidiops jayakari,LC,unknown,am,39,Maldives,337,NA,5476
190064,Fis-31213,Chaunax pictus,LC,unknown,am,39,Maldives,45,NA,5476
190067,Fis-29877,Cryptopsaras couesii,LC,unknown,am,39,Maldives,337,NA,5476
190070,Fis-23749,Pseudocaranx dentex,LC,unknown,am,39,Maldives,3,NA,5476
190071,Fis-23432,Channomuraena vittata,LC,unknown,am,39,Maldives,38,NA,5476
190073,Fis-24539,Desmodema polystictum,LC,unknown,am,39,Maldives,332,NA,5476
190080,Fis-24931,Remora osteochir,LC,stable,am,39,Maldives,337,NA,5476
190087,Fis-27737,Pollichthys mauli,LC,unknown,am,39,Maldives,337,NA,5476
190089,Fis-33804,Diceratias pileatus,LC,unknown,am,39,Maldives,5,NA,5476
190090,Fis-30742,Trichiurus lepturus,LC,stable,am,39,Maldives,40,NA,5476
