year,rgn_id,fao_rgn,taxon_scientific_name,taxon_common_name,taxon_key,tons,stock_id
1951,39,51,Thunnus albacares,Yellowfin tuna,600143,860.916146567681,Thunnus_albacares-51
1951,39,57,Acanthocybium solandri,Wahoo,600089,0.0405435865684452,Acanthocybium_solandri-57
1951,39,57,Alopias,Thresher sharks,500639,0.00435532023764424,Alopias-57
1951,39,57,Alopias superciliosus,Bigeye thresher,602534,1.01226402071473e-4,Alopias_superciliosus-57
1951,39,57,Alopias vulpinus,Thresher,602535,0.00162651580609933,Alopias_vulpinus-57
1951,39,57,Auxis,Bullet and frigate tunas,501163,0.00451409514968758,Auxis-57
1951,39,57,Bregmaceros mcclellandi,Unicorn cod,608421,5.1044887163488e-4,Bregmaceros_mcclellandi-57
1951,39,57,Carangidae,"Jacks, pompanos",400314,4.94490400238683e-4,Carangidae-57
1951,39,57,Carcharhinidae,Requiem sharks,400011,4.00944554558461e-4,Carcharhinidae-57
1951,39,57,Carcharhinus,Sharp-nosed sharks,500816,1.49284364276522e-5,Carcharhinus-57
1951,39,57,Carcharhinus longimanus,Oceanic whitetip shark,600875,0.00110750955982349,Carcharhinus_longimanus-57
1951,39,57,Decapoda,"Crabs, lobsters, shrimps",390013,1.41858978013467e-4,Decapoda-57
1951,39,57,Elasmobranchii,"Sharks, rays, skates",200004,4.32975578084653e-4,Elasmobranchii-57
1951,39,57,Isurus oxyrinchus,Shortfin mako,600752,2.7755140464203e-4,Isurus_oxyrinchus-57
1951,39,57,Marine fishes not identified,Marine fishes nei,100039,0.207622127934953,Marine_fishes_not_identified-57
1951,39,57,Rajiformes,Skates and rays,300014,2.32240232654228e-6,Rajiformes-57
1951,39,57,Scomberomorus commerson,Narrowbarred Spanish mackerel,600121,1.70821519327548e-4,Scomberomorus_commerson-57
1951,39,57,Scomberomorus guttatus,Indo-Pacific king mackerel,600123,0.0528197562389617,Scomberomorus_guttatus-57
1952,39,51,Acanthocybium solandri,Wahoo,600089,0.00709511565727682,Acanthocybium_solandri-51
1952,39,51,Alopias,Thresher sharks,500639,0.652592777777778,Alopias-51
1952,39,51,Aphareus rutilans,Rusty jobfish,600083,68.7535776475864,Aphareus_rutilans-51
1952,39,51,Aprion virescens,Green jobfish,600084,68.7535776475864,Aprion_virescens-51
1952,39,51,Auxis rochei,Bullet tuna,600093,1177.89475561837,Auxis_rochei-51
1952,39,51,Auxis thazard,Frigate tuna,600094,1176.56203710181,Auxis_thazard-51
1952,39,51,Bregmaceros mcclellandi,Unicorn cod,608421,0.38577779025621,Bregmaceros_mcclellandi-51
1952,39,51,Caesio,Caesios,500475,152.6596875,Caesio-51
1952,39,51,Caesio caerulaurea,Blue and gold fusilier,600918,152.6596875,Caesio_caerulaurea-51
1952,39,51,Carangidae,"Jacks, pompanos",400314,241.738572249888,Carangidae-51
1952,39,51,Carangoides coeruleopinnatus,Coastal trevally,601924,103.13036647138,Carangoides_coeruleopinnatus-51
1952,39,51,Carangoides orthogrammus,Island trevally,601909,103.13036647138,Carangoides_orthogrammus-51
