rgn_id,stock_id,year,bbmsy
1,Xiphias_gladius-51,2004,1.48
1,Xiphias_gladius-51,2005,1.47
1,Xiphias_gladius-51,2006,1.45
1,Xiphias_gladius-51,2007,1.45
1,Xiphias_gladius-51,2008,1.48
1,Xiphias_gladius-51,2009,1.54
1,Xiphias_gladius-51,2010,1.62
1,Xiphias_gladius-51,2011,1.73
1,Xiphias_gladius-51,2012,1.81
1,Xiphias_gladius-51,2013,1.66803030303033
1,Xiphias_gladius-51,2014,1.68477855477858
1,Xiphias_gladius-51,2015,1.70152680652684
1,Xiphias_gladius-57,2001,1.62
1,Xiphias_gladius-57,2002,1.56
1,Xiphias_gladius-57,2003,1.5
1,Xiphias_gladius-57,2004,1.48
1,Xiphias_gladius-57,2005,1.47
1,Xiphias_gladius-57,2006,1.45
1,Xiphias_gladius-57,2007,1.45
1,Xiphias_gladius-57,2008,1.48
1,Xiphias_gladius-57,2009,1.54
1,Xiphias_gladius-57,2010,1.62
1,Xiphias_gladius-57,2011,1.73
1,Xiphias_gladius-57,2012,1.81
1,Xiphias_gladius-57,2013,1.66803030303033
1,Xiphias_gladius-57,2014,1.68477855477858
1,Xiphias_gladius-57,2015,1.70152680652684
